Country,registered,ndays_act,nplay_video,nforum_posts,lat,lon
Australia,6419,5.3021194605,105.875402793,0.0,-23.7216236875,133.323656263
Bangladesh,3182,3.68399401645,50.2321981424,0.00157133878064,23.3989338611,90.6113208611
Brazil,17856,5.1160040905,100.978548684,0.00677643369176,-9.63898935468,-56.9471246059
Canada,12738,5.5143906312,102.305122494,0.0064374313079,56.4778406103,-90.6241681875
China,5170,3.32547559967,64.2580645161,0.0,37.3392132522,105.87448877
Colombia,4803,7.22273781903,159.326076668,0.019571101395,4.47664954,-72.73793063
Egypt,9286,4.21801629133,118.119412516,0.00107688994185,28.2434132143,31.5160795238
France,4700,5.92470944922,129.737426519,0.0,47.0237213333,3.24587272917
Germany,8074,6.84896900178,128.940660006,0.00322021302948,51.0655062586,10.6187505
Greece,5162,7.81861783301,176.283292978,0.00852382797365,39.8015257674,23.2230372791
India,88696,5.36255864716,93.9178644131,0.0366194642374,24.0188661544,83.4448988676
Indonesia,3410,4.54180945853,67.5396825397,0.0,-2.02702155556,121.6439368
Japan,2270,4.51346332405,83.6938159879,0.0,35.6651569459,135.971132676
Mexico,5638,6.09064097523,114.896768779,0.0127704859879,23.8353653647,-103.013187712
Morocco,3966,2.72073069471,38.84,0.0,28.76161475,-9.4636835625
Nigeria,7483,4.85810018429,101.86731666,0.000801817452893,9.70591322414,8.44860148276
Pakistan,10824,3.57944646598,43.7636054422,0.0070214338507,30.8152194242,69.4029660455
Philippines,5374,4.01340860974,66.3389121339,0.0027912169706,15.3777008182,121.785162152
Poland,5226,10.0357366771,188.494793537,0.00363566781477,51.6824483333,19.2875385556
Portugal,2193,7.32587859425,167.387802071,0.0,39.7640785455,-8.03866836364
Russia,10432,10.057162147,221.899837323,0.0101610429448,59.3415026667,91.280909745
Spain,10003,9.91821352233,210.12355633,0.0103968809357,40.2690643725,-4.48172327451
Ukraine,4100,9.52743105951,180.540557668,0.0,48.4639265408,30.6514800204
England,22131,6.19530156096,114.241545248,0.0161312186526,54.0057097917,-3.08275133333
USA,184240,5.5183463096,102.369414948,0.0363330438558,38.2759199442,-90.2446941545
